#Digilent WaveForms Network Analyzer - Bode,,,,,,,,,
#Device Name: Discovery2,,,,,,,,,
#Serial Number: SN:210321AD95A0,,,,,,,,,
#Date Time: 2020-05-28 13:00:58.045,,,,,,,,,
#Start: 100 Hz,,,,,,,,,
#Stop: 1e+07 Hz,,,,,,,,,
#Steps: 201,,,,,,,,,
#Wavegen: Wavegen2,,,,,,,,,
#Amplification: 1 X,,,,,,,,,
#Settle: 10 ms,,,,,,,,,
#MinPeriods: 16 ,,,,,,,,,
#Channel: Channel 1,,,,,,,,,
#Range: 5.52426 V,,,,,,,,,
#Offset: -0.00012377 V,,,,,,,,,
#Relative: no,,,,,,,,,
#Channel: Channel 2,,,,,,,,,
#Range: 5.51327 V,,,,,,,,,
#Offset: -0.000290047 V,,,,,,,,,
#Relative: yes,,,,,,,,,
#Power Supplies: OFF,,,,,,,,,
#Positive Supply: Rdy,,,,,,,,,
#Voltage: 4.3 V,,,,,,,,,
#Negative Supply: OFF,,,,,,Data used to create graph:,,,
#Voltage: -1 V,,,,,,,,,
,,,,,,,,,
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg),,,Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,0.004729548,-68.54487667,172.1387871,,,398107.1706,-0.042417313,-46.64234359,170.8424774
105.9253725,0.004260383,-68.50981883,167.9088734,,,421696.5034,-0.040441488,-44.44271988,173.5797016
112.2018454,0.004905602,-69.02861106,-174.0805942,,,446683.5922,-0.038584137,-42.53734107,172.2305271
118.8502227,0.004327576,-67.87951439,-174.9496274,,,473151.259,-0.035474161,-41.7929742,179.1908767
125.8925412,0.005035263,-68.46056712,179.8806095,,,501187.2336,-0.034563213,-40.22375993,174.630715
133.3521432,0.004955162,-68.06406327,175.5668081,,,530884.4442,-0.040515818,-39.17459531,172.2594555
141.2537545,0.004757327,-65.64602671,-178.0826881,,,562341.3252,-0.022994352,-37.57298723,174.9557396
149.6235656,0.004146497,-66.28271844,-168.4048467,,,595662.1435,-0.017925661,-36.59164932,176.0942991
158.4893192,0.005850118,-67.70149317,158.8326033,,,630957.3445,-0.012081828,-35.2100721,175.154798
167.8804018,0.004584621,-67.17812149,-179.9950397,,,668343.9176,0.001617583,-34.23853432,175.4088698
177.827941,0.004213225,-67.73307384,177.0420117,,,707945.7844,0.006565452,-32.87999221,176.3933915
188.3649089,0.004450982,-67.40183886,-166.5367358,,,749894.2093,0.014248072,-31.99517117,175.7392316
199.5262315,0.004376198,-67.56831156,-176.7440993,,,794328.2347,0.041073665,-30.62609303,176.6178088
211.348904,0.003684062,-67.97269693,178.2432056,,,841395.1416,0.059095154,-29.64293606,176.4286814
223.8721139,0.004256976,-66.08905538,159.9805853,,,891250.9381,0.084954012,-28.41969066,176.1336634
237.1373706,0.003262898,-68.82603644,167.3107107,,,944060.8763,0.113309757,-27.27871296,176.0605192
251.1886432,0.00561692,-68.28039887,-176.6275921,,,1000000,0.141400874,-26.08285097,175.5613499
266.072506,0.004595093,-69.07789846,165.7726506,,,1059253.725,0.178733087,-24.91355922,175.8571677
281.8382931,0.003362207,-67.25278649,-178.5122198,,,1122018.454,0.21980662,-23.7861874,175.8573493
298.5382619,0.004293087,-68.029593,176.6459695,,,1188502.227,0.269726367,-22.55836088,176.0202546
316.227766,0.002674025,-65.85347545,-173.0111586,,,1258925.412,0.329714526,-21.3830908,175.6173507
334.9654392,0.003590524,-67.37323339,169.0785115,,,1333521.432,0.398574606,-20.22364522,175.5395876
354.8133892,0.001561664,-66.64349907,-175.5581311,,,1412537.545,0.479856177,-18.9461481,175.3426811
375.8374043,0.003267163,-67.57895729,-174.1742284,,,1496235.656,0.572563193,-17.68283246,175.187036
398.1071706,0.00623044,-70.89333796,168.6171186,,,1584893.192,0.691642167,-16.38923059,174.8889586
421.6965034,0.004908751,-65.28609423,-178.7366227,,,1678804.018,0.821375197,-15.04047363,174.7215035
446.6835922,0.004239423,-67.8535616,-168.8868311,,,1778279.41,1.007141065,-13.63162912,174.4001623
473.151259,0.003176429,-66.71131715,173.4770042,,,1883649.089,1.225531396,-12.17381147,174.0298155
501.1872336,0.003956773,-68.29257028,165.5267572,,,1995262.315,1.485300406,-10.60745931,173.572794
530.8844442,0.002341386,-66.28358676,164.1331132,,,2113489.04,1.854957843,-8.946808283,173.1092089
562.3413252,0.003550485,-65.92359121,174.7814438,,,2238721.139,2.338410425,-7.146231304,172.4199501
595.6621435,-0.001020094,-65.402686,163.5894559,,,2371373.706,3.013976353,-5.149864669,171.4930103
